UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600243,365809.1,2261227.172,900.655,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600243,COMPLETED,,0.000203067,273.8175253,2025-12-12 11:18:00,,Doyle-2500-011 - Machine 2
600244,365804.37,2261227.237,900.438,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600244,COMPLETED,,0.000958299,274.484381,2025-12-12 11:23:27,,Doyle-2500-011 - Machine 2
400232,365560.955,2261541.675,896.33,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,,400232,COMPLETED,,0.003253044,273.2330282,2025-12-12 12:59:04,,Doyle-2500-011 - Machine 2
400233,365560.941,2260873.784,889.119,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,,400233,COMPLETED,,0.000676736,271.0145667,2025-12-11 14:38:16,,Doyle-2500-011 - Machine 2
400239,365557.45,2261226.238,890.906,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,,400239,COMPLETED,,0.004067188,271.5724985,2025-12-12 08:33:12,,Doyle-2500-011 - Machine 2
400241,365557.414,2261206.708,890.476,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,,400241,COMPLETED,,0.003894988,271.472386,2025-12-11 15:02:52,,Doyle-2500-011 - Machine 2
400262,366084.093,2263413.772,907.5608758,INV 24 Design Points.csv,,,,,,,,,,,,,400262,COMPLETED,,0.00098853,276.6328663,2025-12-30 09:46:05,,Doyle-2500-010 - Machine 1
400263,365560.95,2263862.272,902.9068974,INV 24 Design Points.csv,,,,,,,,,,,,,400263,COMPLETED,,0.002991933,275.2056915,2025-12-30 14:14:31,,Doyle-2500-007 - Machine 8
400264,365560.95,2262979.772,905.1061853,INV 24 Design Points.csv,,,,,,,,,,,,,400264,COMPLETED,,0.007264769,276.3880688,2025-12-30 12:04:39,,Doyle-2500-007 - Machine 8
400265,366084.093,2262882.272,908.5074414,INV 24 Design Points.csv,,,,,,,,,,,,,400265,COMPLETED,0.000614815,0.0037,276.9271961,2025-12-17 09:13:36,2025-12-17 09:08:04,Doyle-2500-020 - Machine 3
