UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,,,,,,,,,
14032,366994.33,2257540.064,886.18,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14033,367020.938,2257540.014,886.213,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14034,367047.594,2257540.039,886.287,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14035,367074.243,2257539.981,886.249,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14036,367123.975,2257540.015,886.21,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14037,367177.234,2257520.538,886.335,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14070,367177.254,2257130.434,892.823,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14102,367150.597,2257130.504,888.869,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14103,367124.035,2257130.463,888.603,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14104,367074.254,2257130.47,887.292,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14105,367283.594,2256954.966,887.625,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14106,367310.219,2256954.939,887.506,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14107,367025.416,2256974.429,887.187,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14108,367051.954,2256974.467,887.105,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14109,367074.189,2256974.512,887.136,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14110,367124.009,2256974.504,887.354,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14111,367150.603,2256974.475,887.45,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14112,367177.224,2256974.484,887.849,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14113,367203.866,2256974.422,888.107,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14114,367230.394,2256974.449,888.12,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14115,367257.053,2256974.534,888.039,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14116,367283.579,2256974.452,887.704,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14117,367310.168,2256974.514,887.636,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14118,367257.031,2256955.009,887.741,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14119,367025.376,2256994.016,887.214,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14120,367074.273,2256993.862,887.168,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
