UPN,Northing,Easting,Elevation
28675,366242.948,2263021.272,912.1713724
28674,366216.3603,2263021.272,911.6604889
28673,366189.7724,2263021.272,911.166598
28672,366163.1863,2263021.272,910.5840566
28671,366136.5976,2263021.272,910.1338122
28684,366110.006,2263021.272,909.917091
47808,366085.0926,2263021.272,909.8783345
28701,366060.1795,2263021.272,909.750721
28716,366033.5875,2263021.272,909.916189
28702,366006.9956,2263021.272,910.0859634
28730,365980.4031,2263021.272,910.0076176
28729,365953.8133,2263021.272,909.6309403
28728,365927.223,2263021.272,909.2880405
28727,365900.6383,2263021.272,908.644534
28726,365874.0626,2263021.272,907.6993452
44858,365847.4796,2263021.272,906.9849763
44338,365797.5798,2263021.272,906.7506803
16555,365770.9873,2263021.272,906.75641
16554,365744.3964,2263021.272,906.4604573
16553,365717.8107,2263021.272,905.8628223
16614,365691.2269,2263021.272,905.1781481
16646,365664.6371,2263021.272,904.795159
16647,365638.0448,2263021.272,904.7138524
16648,365611.4532,2263021.272,904.9342283
16740,365584.862,2263021.272,905.1962
46792,365559.9496,2263021.272,905.4239
16739,365535.0388,2263021.272,905.7843344
16738,365508.4468,2263021.272,905.9487142
16737,365481.8547,2263021.272,905.8114115
16736,365455.2657,2263021.272,905.3724247
16734,365402.0869,2263021.272,904.6036206
16733,365375.4946,2263021.272,904.4822154
2422,365900.6522,2263274.772,906.0433363
8201,365535.0384,2263664.772,903.2436906
40483,365348.9027,2263021.272,904.6624926
2421,365874.0617,2263274.772,905.7203545
8203,365508.446,2263664.772,903.3091801
40482,365322.3145,2263021.272,905.1444538
2420,365847.4764,2263274.772,905.0956882
8217,365481.8535,2263664.772,903.3515243
44843,366322.6538,2263040.772,915.4840381
40602,365797.5489,2263274.772,901.7631551
8204,365455.2609,2263664.772,903.3791031
28725,366296.0975,2263040.772,914.0959109
40601,365770.9569,2263274.772,901.6021936
8205,365428.6685,2263664.772,903.3226057
28724,366269.5272,2263040.772,913.0090988
21819,365744.3647,2263274.772,901.7429142
8206,365402.0771,2263664.772,903.5677908
21818,365717.7722,2263274.772,901.7421142
28723,366242.9463,2263040.772,912.2239691
8207,365375.4903,2263664.772,904.1146583
21817,365691.1797,2263274.772,901.6944991
28722,366216.359,2263040.772,911.6953504
39236,365348.9113,2263664.772,904.9632084
21830,365664.5872,2263274.772,901.7443089
28721,366189.7712,2263040.772,911.1948137
39237,365322.3348,2263664.772,905.8871743
21816,365637.9971,2263274.772,902.095801
28720,366163.1858,2263040.772,910.5793144
39230,365678.2054,2263684.272,901.7932474
21814,365611.4126,2263274.772,902.7489756
39231,365655.9536,2263684.272,901.8981218
21813,365584.8372,2263274.772,903.7038328
28719,366136.5976,2263040.772,910.1048809
47186,365559.9496,2263274.772,904.836782
8202,365633.7019,2263684.272,901.9906731
28718,366110.006,2263040.772,909.8843925
21812,365535.0507,2263274.772,905.6870974
8189,365607.1125,2263684.272,902.4029619
47809,366085.0926,2263040.772,909.8465027
21811,365508.4651,2263274.772,906.2930395
8190,365584.8628,2263684.272,902.7188088
28731,366060.1794,2263040.772,909.7381583
21810,365481.8744,2263274.772,906.597299
46168,365559.9496,2263684.272,902.8085259
28717,366033.5876,2263040.772,909.924194
21809,365455.2818,2263274.772,906.599876
8191,365535.0374,2263684.272,903.0538397
8192,365508.4449,2263684.272,903.0140047
8193,365481.8525,2263684.272,902.9530974
8194,365455.2599,2263684.272,902.9861692
8195,365428.6677,2263684.272,902.8742468
8196,365402.0758,2263684.272,903.0640069
8197,365375.4879,2263684.272,903.5554494
39232,365348.9072,2263684.272,904.3485745
39233,365322.3345,2263684.272,905.3770974
39248,365678.2024,2263703.772,901.7175089
39247,365655.9506,2263703.772,901.8075179
8242,365633.7001,2263703.772,902.0535136
8243,365607.1137,2263703.772,902.6299248
8244,365584.863,2263703.772,902.8598088
46169,365559.9496,2263703.772,902.8636835
8245,365535.0367,2263703.772,903.0175484
8246,365508.4445,2263703.772,902.8801011
8247,365481.8525,2263703.772,902.7266589
8248,365455.2599,2263703.772,902.7712089
8220,365428.6683,2263703.772,902.9859541
8234,365402.0758,2263703.772,902.9608189
8219,365375.4847,2263703.772,903.2373663
